county_code,sector_desc,week_ending,county_ansi,state_ansi,CV (%),reference_period_desc,Value,state_name,end_code,freq_desc,agg_level_desc,short_desc,asd_code,class_desc,domain_desc,congr_district_code,watershed_code,util_practice_desc,state_fips_code,country_name,prodn_practice_desc,watershed_desc,region_desc,domaincat_desc,year,statisticcat_desc,zip_5,asd_desc,source_desc,commodity_desc,unit_desc,begin_code,state_alpha,country_code,location_desc,load_time,group_desc,county_name
221,ECONOMICS,,221,21,28.3,YEAR,19,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,10,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,PURCHASE,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, PURCHASE, TRIGG",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,TRIGG
033,ECONOMICS,,033,21,28.3,YEAR,25,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,20,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,MIDWESTERN,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, MIDWESTERN, CALDWELL",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,CALDWELL
047,ECONOMICS,,047,21,28.3,YEAR,78,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,20,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,MIDWESTERN,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, MIDWESTERN, CHRISTIAN",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,CHRISTIAN
055,ECONOMICS,,055,21,28.3,YEAR,35,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,20,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,MIDWESTERN,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, MIDWESTERN, CRITTENDEN",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,CRITTENDEN
059,ECONOMICS,,059,21,28.3,YEAR,71,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,20,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,MIDWESTERN,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, MIDWESTERN, DAVIESS",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,DAVIESS
091,ECONOMICS,,091,21,28.3,YEAR,3,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,20,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,MIDWESTERN,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, MIDWESTERN, HANCOCK",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,HANCOCK
101,ECONOMICS,,101,21,28.3,YEAR,57,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,20,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,MIDWESTERN,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, MIDWESTERN, HENDERSON",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,HENDERSON
107,ECONOMICS,,107,21,28.3,YEAR,33,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,20,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,MIDWESTERN,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, MIDWESTERN, HOPKINS",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,HOPKINS
141,ECONOMICS,,141,21,28.3,YEAR,43,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,20,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,MIDWESTERN,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, MIDWESTERN, LOGAN",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,LOGAN
149,ECONOMICS,,149,21,28.3,YEAR,37,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,20,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,MIDWESTERN,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, MIDWESTERN, MCLEAN",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,MCLEAN
177,ECONOMICS,,177,21,28.3,YEAR,22,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,20,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,MIDWESTERN,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, MIDWESTERN, MUHLENBERG",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,MUHLENBERG
183,ECONOMICS,,183,21,28.3,YEAR,23,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,20,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,MIDWESTERN,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, MIDWESTERN, OHIO",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,OHIO
213,ECONOMICS,,213,21,28.3,YEAR,31,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,20,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,MIDWESTERN,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, MIDWESTERN, SIMPSON",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,SIMPSON
219,ECONOMICS,,219,21,28.3,YEAR,39,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,20,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,MIDWESTERN,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, MIDWESTERN, TODD",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,TODD
225,ECONOMICS,,225,21,28.3,YEAR,46,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,20,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,MIDWESTERN,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, MIDWESTERN, UNION",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,UNION
233,ECONOMICS,,233,21,28.3,YEAR,41,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,20,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,MIDWESTERN,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, MIDWESTERN, WEBSTER",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,WEBSTER
001,ECONOMICS,,001,21,28.3,YEAR,13,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, ADAIR",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,ADAIR
003,ECONOMICS,,003,21,28.3,YEAR,20,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, ALLEN",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,ALLEN
009,ECONOMICS,,009,21,28.3,YEAR,29,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, BARREN",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,BARREN
027,ECONOMICS,,027,21,28.3,YEAR,38,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, BRECKINRIDGE",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,BRECKINRIDGE
029,ECONOMICS,,029,21,28.3,YEAR,5,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, BULLITT",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,BULLITT
031,ECONOMICS,,031,21,28.3,YEAR,29,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, BUTLER",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,BUTLER
045,ECONOMICS,,045,21,28.3,YEAR,23,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, CASEY",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,CASEY
053,ECONOMICS,,053,21,28.3,YEAR,5,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, CLINTON",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,CLINTON
057,ECONOMICS,,057,21,28.3,YEAR,14,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, CUMBERLAND",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,CUMBERLAND
061,ECONOMICS,,061,21,28.3,YEAR,3,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, EDMONSON",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,EDMONSON
085,ECONOMICS,,085,21,28.3,YEAR,28,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, GRAYSON",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,GRAYSON
087,ECONOMICS,,087,21,28.3,YEAR,15,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, GREEN",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,GREEN
093,ECONOMICS,,093,21,28.3,YEAR,38,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, HARDIN",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,HARDIN
099,ECONOMICS,,099,21,28.3,YEAR,16,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, HART",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,HART
123,ECONOMICS,,123,21,28.3,YEAR,15,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, LARUE",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,LARUE
155,ECONOMICS,,155,21,28.3,YEAR,14,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, MARION",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,MARION
163,ECONOMICS,,163,21,28.3,YEAR,26,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, MEADE",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,MEADE
169,ECONOMICS,,169,21,28.3,YEAR,15,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, METCALFE",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,METCALFE
171,ECONOMICS,,171,21,28.3,YEAR,28,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, MONROE",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,MONROE
179,ECONOMICS,,179,21,28.3,YEAR,28,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, NELSON",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,NELSON
207,ECONOMICS,,207,21,28.3,YEAR,13,KENTUCKY,00,ANNUAL,COUNTY,FARM OPERATIONS - NUMBER OF OPERATIONS,30,ALL CLASSES,AREA OPERATED,,00000000,ALL UTILIZATION PRACTICES,21,UNITED STATES,ALL PRODUCTION PRACTICES,,,"AREA OPERATED: (1,000 OR MORE ACRES)",2017,OPERATIONS,,CENTRAL,CENSUS,FARM OPERATIONS,OPERATIONS,00,KY,9000,"KENTUCKY, CENTRAL, RUSSELL",2018-02-01 00:00:00.000,FARMS & LAND & ASSETS,RUSSELL
